provider_id,provider_name,provider_type,specialty,city,state,network_status
P1383,Provider_0384,Specialist Center,Pediatrics,Richmond,VA,Out-of-Network
P1384,Provider_0385,Clinic,Oncology,Raleigh,NC,In-Network
P1385,Provider_0386,Physician,Dermatology,San Jose,CA,Out-of-Network
P1386,Provider_0387,Physician,Dermatology,Spokane,WA,In-Network
P1387,Provider_0388,Physician,Orthopedics,San Jose,CA,In-Network
P1388,Provider_0389,Physician,Orthopedics,Rochester,NY,In-Network
P1389,Provider_0390,Clinic,Pediatrics,Durham,NC,In-Network
P1390,Provider_0391,Physician,Cardiology,Arlington,VA,In-Network
P1391,Provider_0392,Physician,Pediatrics,Phoenix,AZ,Out-of-Network
P1392,Provider_0393,Hospital,Oncology,Atlanta,GA,Out-of-Network
P1393,Provider_0394,Hospital,Cardiology,Savannah,GA,In-Network
P1394,Provider_0395,Hospital,Orthopedics,Phoenix,AZ,In-Network
P1395,Provider_0396,Hospital,Primary Care,Austin,TX,In-Network
P1396,Provider_0397,Clinic,Neurology,Tampa,FL,In-Network
P1397,Provider_0398,Specialist Center,Cardiology,Tacoma,WA,In-Network
P1398,Provider_0399,Hospital,Dermatology,Los Angeles,CA,In-Network
P1399,Provider_0400,Hospital,Orthopedics,Phoenix,AZ,In-Network
P1400,Provider_0401,Hospital,Emergency Medicine,Los Angeles,CA,In-Network
P1401,Provider_0402,Clinic,Cardiology,Buffalo,NY,In-Network
P1402,Provider_0403,Specialist Center,Pediatrics,Arlington,VA,In-Network
P1403,Provider_0404,Physician,Cardiology,Arlington,VA,In-Network
P1404,Provider_0405,Hospital,Cardiology,Atlanta,GA,In-Network
P1405,Provider_0406,Specialist Center,Emergency Medicine,Savannah,GA,In-Network
P1406,Provider_0407,Physician,Cardiology,Austin,TX,Out-of-Network
P1407,Provider_0408,Hospital,Oncology,Dallas,TX,In-Network
P1408,Provider_0409,Clinic,Neurology,San Jose,CA,Out-of-Network
P1409,Provider_0410,Clinic,Emergency Medicine,San Jose,CA,In-Network
P1410,Provider_0411,Clinic,Oncology,New York,NY,In-Network
P1411,Provider_0412,Physician,Neurology,New York,NY,In-Network
P1412,Provider_0413,Clinic,Emergency Medicine,Rochester,NY,Out-of-Network
P1413,Provider_0414,Specialist Center,Pediatrics,Arlington,VA,Out-of-Network
P1414,Provider_0415,Physician,Primary Care,Richmond,VA,In-Network
P1415,Provider_0416,Clinic,Oncology,San Jose,CA,In-Network
P1416,Provider_0417,Specialist Center,Primary Care,Aurora,IL,In-Network
P1417,Provider_0418,Specialist Center,Oncology,Charlotte,NC,Out-of-Network
P1418,Provider_0419,Hospital,Orthopedics,Houston,TX,In-Network
P1419,Provider_0420,Hospital,Orthopedics,San Diego,CA,Out-of-Network
P1420,Provider_0421,Specialist Center,Cardiology,Austin,TX,In-Network
P1421,Provider_0422,Hospital,Primary Care,Augusta,GA,In-Network
P1422,Provider_0423,Hospital,Cardiology,Savannah,GA,In-Network
P1423,Provider_0424,Physician,Neurology,Schaumburg,IL,In-Network
P1424,Provider_0425,Clinic,Cardiology,Rochester,NY,In-Network
P1425,Provider_0426,Physician,Oncology,Arlington,VA,Out-of-Network
P1426,Provider_0427,Physician,Oncology,Tampa,FL,Out-of-Network
P1427,Provider_0428,Hospital,Cardiology,Augusta,GA,In-Network
P1428,Provider_0429,Clinic,Neurology,Miami,FL,In-Network
P1429,Provider_0430,Physician,Oncology,San Jose,CA,In-Network
P1430,Provider_0431,Physician,Neurology,San Diego,CA,In-Network
P1431,Provider_0432,Physician,Orthopedics,San Jose,CA,Out-of-Network
P1432,Provider_0433,Physician,Orthopedics,Savannah,GA,In-Network
P1433,Provider_0434,Clinic,Primary Care,New York,NY,In-Network
P1434,Provider_0435,Hospital,Orthopedics,Buffalo,NY,In-Network
P1435,Provider_0436,Specialist Center,Neurology,San Jose,CA,In-Network
P1436,Provider_0437,Hospital,Cardiology,Buffalo,NY,In-Network
P1437,Provider_0438,Specialist Center,Pediatrics,Phoenix,AZ,In-Network
P1438,Provider_0439,Physician,Oncology,Los Angeles,CA,In-Network
P1439,Provider_0440,Specialist Center,Cardiology,Richmond,VA,In-Network
P1440,Provider_0441,Clinic,Oncology,San Diego,CA,In-Network
P1441,Provider_0442,Clinic,Primary Care,Savannah,GA,In-Network
P1442,Provider_0443,Physician,Cardiology,Aurora,IL,In-Network
P1443,Provider_0444,Clinic,Cardiology,Richmond,VA,In-Network
P1444,Provider_0445,Physician,Emergency Medicine,Savannah,GA,In-Network
P1445,Provider_0446,Specialist Center,Cardiology,Charlotte,NC,In-Network
P1446,Provider_0447,Hospital,Primary Care,Los Angeles,CA,In-Network
P1447,Provider_0448,Hospital,Cardiology,Houston,TX,In-Network
P1448,Provider_0449,Specialist Center,Oncology,San Jose,CA,In-Network
P1449,Provider_0450,Hospital,Pediatrics,Los Angeles,CA,In-Network
P1450,Provider_0451,Physician,Cardiology,Dallas,TX,In-Network
P1451,Provider_0452,Specialist Center,Primary Care,New York,NY,Out-of-Network
P1452,Provider_0453,Physician,Primary Care,Tempe,AZ,In-Network
P1453,Provider_0454,Hospital,Cardiology,Seattle,WA,In-Network
P1454,Provider_0455,Physician,Primary Care,Norfolk,VA,In-Network
P1455,Provider_0456,Clinic,Dermatology,Durham,NC,Out-of-Network
P1456,Provider_0457,Hospital,Orthopedics,Mesa,AZ,In-Network
P1457,Provider_0458,Clinic,Neurology,Tacoma,WA,Out-of-Network
P1458,Provider_0459,Clinic,Primary Care,Savannah,GA,In-Network
P1459,Provider_0460,Specialist Center,Emergency Medicine,San Jose,CA,In-Network
P1460,Provider_0461,Specialist Center,Dermatology,Richmond,VA,In-Network
P1461,Provider_0462,Physician,Dermatology,Buffalo,NY,In-Network
P1462,Provider_0463,Physician,Pediatrics,Tempe,AZ,Out-of-Network
P1463,Provider_0464,Hospital,Orthopedics,Dallas,TX,In-Network
P1464,Provider_0465,Physician,Oncology,Savannah,GA,In-Network
P1465,Provider_0466,Physician,Orthopedics,Schaumburg,IL,Out-of-Network
P1466,Provider_0467,Specialist Center,Pediatrics,Tacoma,WA,In-Network
P1467,Provider_0468,Specialist Center,Neurology,Buffalo,NY,In-Network
P1468,Provider_0469,Clinic,Orthopedics,Schaumburg,IL,In-Network
P1469,Provider_0470,Physician,Cardiology,Orlando,FL,In-Network
P1470,Provider_0471,Specialist Center,Primary Care,Tampa,FL,In-Network
P1471,Provider_0472,Hospital,Cardiology,Augusta,GA,In-Network
P1472,Provider_0473,Physician,Dermatology,Mesa,AZ,Out-of-Network
P1473,Provider_0474,Hospital,Cardiology,New York,NY,Out-of-Network
P1474,Provider_0475,Clinic,Dermatology,Seattle,WA,In-Network
P1475,Provider_0476,Clinic,Cardiology,New York,NY,In-Network
P1476,Provider_0477,Specialist Center,Dermatology,Houston,TX,In-Network
P1477,Provider_0478,Specialist Center,Orthopedics,Mesa,AZ,Out-of-Network
P1478,Provider_0479,Clinic,Oncology,Miami,FL,Out-of-Network
P1479,Provider_0480,Hospital,Dermatology,Arlington,VA,In-Network
P1480,Provider_0481,Clinic,Neurology,New York,NY,In-Network
P1481,Provider_0482,Clinic,Primary Care,Dallas,TX,In-Network
P1482,Provider_0483,Specialist Center,Orthopedics,Tacoma,WA,In-Network
P1483,Provider_0484,Physician,Neurology,Orlando,FL,In-Network
P1484,Provider_0485,Specialist Center,Emergency Medicine,Raleigh,NC,In-Network
P1485,Provider_0486,Specialist Center,Cardiology,Tacoma,WA,In-Network
P1486,Provider_0487,Hospital,Pediatrics,Charlotte,NC,In-Network
P1487,Provider_0488,Clinic,Pediatrics,Arlington,VA,In-Network
P1488,Provider_0489,Physician,Dermatology,Norfolk,VA,In-Network
P1489,Provider_0490,Physician,Cardiology,Miami,FL,In-Network
P1490,Provider_0491,Specialist Center,Dermatology,Augusta,GA,In-Network
P1491,Provider_0492,Specialist Center,Oncology,Phoenix,AZ,Out-of-Network
P1492,Provider_0493,Clinic,Neurology,Richmond,VA,Out-of-Network
P1493,Provider_0494,Hospital,Primary Care,Augusta,GA,In-Network
P1494,Provider_0495,Clinic,Dermatology,New York,NY,In-Network
P1495,Provider_0496,Physician,Neurology,Houston,TX,In-Network
P1496,Provider_0497,Hospital,Orthopedics,Atlanta,GA,In-Network
P1497,Provider_0498,Specialist Center,Oncology,Raleigh,NC,In-Network
P1498,Provider_0499,Specialist Center,Pediatrics,Phoenix,AZ,In-Network
P1499,Provider_0500,Physician,Cardiology,San Jose,CA,In-Network
